IndexBV,Jahr,nameD,nameE
"204,1136044",1990,Baumpieper,Tree Pipit
"164,6176219",1991,Baumpieper,Tree Pipit
"190,0909998",1992,Baumpieper,Tree Pipit
"154,1261827",1993,Baumpieper,Tree Pipit
"125,7339803",1994,Baumpieper,Tree Pipit
"118,6716496",1995,Baumpieper,Tree Pipit
"120,6515516",1996,Baumpieper,Tree Pipit
"107,0371741",1997,Baumpieper,Tree Pipit
"95,46597391",1998,Baumpieper,Tree Pipit
"84,77539851",1999,Baumpieper,Tree Pipit
"96,14526033",2000,Baumpieper,Tree Pipit
"90,72372363",2001,Baumpieper,Tree Pipit
"77,08058991",2002,Baumpieper,Tree Pipit
"76,94537047",2003,Baumpieper,Tree Pipit
"88,86310446",2004,Baumpieper,Tree Pipit
"90,66091293",2005,Baumpieper,Tree Pipit
"88,31790205",2006,Baumpieper,Tree Pipit
"85,04043838",2007,Baumpieper,Tree Pipit
"81,02979612",2008,Baumpieper,Tree Pipit
"78,97515787",2009,Baumpieper,Tree Pipit
"82,95601948",2010,Baumpieper,Tree Pipit
"79,5650087",2011,Baumpieper,Tree Pipit
"87,19968196",2012,Baumpieper,Tree Pipit
"87,23377805",2013,Baumpieper,Tree Pipit
"81,42004049",2014,Baumpieper,Tree Pipit
"84,72647492",2015,Baumpieper,Tree Pipit
"80,90101088",2016,Baumpieper,Tree Pipit
"81,0878935",2017,Baumpieper,Tree Pipit
"81,04862689",2018,Baumpieper,Tree Pipit
"81,93901645",2019,Baumpieper,Tree Pipit
"84,58524793",2020,Baumpieper,Tree Pipit
"84,39889496",2021,Baumpieper,Tree Pipit
"83,87191277",2022,Baumpieper,Tree Pipit
