Household_ID,No.CatsInHousehold,Duration,Treatment,PreyTaxon,No.Prey,Year,Month
1,1,15.0,BBS,Birds,0,2019,July
1,1,15.0,No_BBS,Birds,0,2019,July
2,1,14.0,BBS,Birds,0,2019,August
2,1,14.0,No_BBS,Birds,0,2019,August
3,1,15.0,BBS,Birds,1,2019,August
3,1,16.0,No_BBS,Birds,0,2019,August
4,1,14.0,BBS,Birds,0,2019,August
4,1,14.0,No_BBS,Birds,1,2019,August
5,1,15.0,BBS,Birds,0,2019,August
5,1,13.0,No_BBS,Birds,2,2019,August
6,1,16.0,BBS,Birds,0,2019,August
6,1,14.0,No_BBS,Birds,0,2019,August
7,1,13.0,BBS,Birds,1,2019,July
7,1,13.0,No_BBS,Birds,1,2019,July
8,1,11.0,BBS,Birds,1,2019,September
8,1,15.0,No_BBS,Birds,0,2019,September
9,1,14.0,BBS,Birds,0,2019,October
9,1,13.0,No_BBS,Birds,0,2019,October
10,2,15.0,BBS,Birds,1,2020,May
10,2,15.0,BBS_Bell,Birds,0,2020,May
10,2,14.0,No_BBS,Birds,1,2020,May
11,1,14.0,BBS,Birds,0,2020,May
11,1,14.0,BBS_Bell,Birds,1,2020,May
11,1,14.0,No_BBS,Birds,0,2020,May
12,1,14.0,BBS,Birds,0,2020,May
12,1,14.0,BBS_Bell,Birds,0,2020,May
12,1,14.0,No_BBS,Birds,1,2020,May
13,2,13.0,BBS,Birds,0,2020,May
13,2,13.0,BBS_Bell,Birds,2,2020,May
13,2,13.0,No_BBS,Birds,1,2020,May
14,2,14.0,BBS,Birds,2,2020,May
14,2,14.0,BBS_Bell,Birds,2,2020,May
14,2,14.5,No_BBS,Birds,4,2020,May
15,1,14.0,BBS,Birds,1,2020,May
15,1,14.0,BBS_Bell,Birds,1,2020,May
15,1,14.0,No_BBS,Birds,1,2020,May
16,2,14.0,BBS,Birds,1,2020,May
16,2,14.0,BBS_Bell,Birds,1,2020,May
16,2,14.0,No_BBS,Birds,1,2020,May
17,1,14.0,BBS,Birds,0,2020,May
17,1,14.0,No_BBS,Birds,0,2020,May
18,1,14.0,BBS,Birds,0,2020,May
18,1,14.0,No_BBS,Birds,3,2020,May
19,1,14.0,BBS,Birds,0,2020,May
19,1,14.0,BBS_Bell,Birds,0,2020,May
19,1,14.0,No_BBS,Birds,0,2020,May
20,2,13.0,BBS,Birds,0,2020,June
20,2,14.0,BBS_Bell,Birds,0,2020,June
20,2,13.0,No_BBS,Birds,1,2020,June
21,1,13.0,BBS,Birds,0,2020,June
21,1,13.0,No_BBS,Birds,0,2020,June
22,1,14.0,BBS,Birds,0,2020,June
22,1,13.0,BBS_Bell,Birds,0,2020,June
22,1,13.0,No_BBS,Birds,1,2020,June
23,1,15.0,BBS,Birds,0,2020,June
23,1,14.0,No_BBS,Birds,0,2020,June
24,1,26.5,BBS,Birds,4,2020,May
24,1,26.0,BBS_Bell,Birds,2,2020,May
24,1,26.0,No_BBS,Birds,6,2020,May
25,1,14.0,BBS,Birds,2,2020,May
25,1,14.0,BBS_Bell,Birds,1,2020,May
25,1,14.0,No_BBS,Birds,1,2020,May
26,1,11.0,BBS,Birds,0,2020,June
26,1,14.0,No_BBS,Birds,0,2020,June
