Household_ID,No.CatsInHousehold,Duration,Treatment,PreyTaxon,No.Prey,Year,Month
1,1,15.0,BBS,Birds,0,2019,July
1,1,15.0,BBS,Insects,0,2019,July
1,1,15.0,BBS,Mammals,5,2019,July
1,1,15.0,BBS,Reptiles,1,2019,July
1,1,15.0,No_BBS,Birds,0,2019,July
1,1,15.0,No_BBS,Insects,0,2019,July
1,1,15.0,No_BBS,Mammals,5,2019,July
1,1,15.0,No_BBS,Reptiles,2,2019,July
2,1,14.0,BBS,Birds,0,2019,August
2,1,14.0,BBS,Insects,0,2019,August
2,1,14.0,BBS,Mammals,1,2019,August
2,1,14.0,BBS,Reptiles,0,2019,August
2,1,14.0,No_BBS,Birds,0,2019,August
2,1,14.0,No_BBS,Insects,0,2019,August
2,1,14.0,No_BBS,Mammals,4,2019,August
2,1,14.0,No_BBS,Reptiles,0,2019,August
3,1,15.0,BBS,Birds,1,2019,August
3,1,15.0,BBS,Insects,0,2019,August
3,1,15.0,BBS,Mammals,1,2019,August
3,1,15.0,BBS,Reptiles,0,2019,August
3,1,16.0,No_BBS,Birds,0,2019,August
3,1,16.0,No_BBS,Insects,0,2019,August
3,1,16.0,No_BBS,Mammals,0,2019,August
3,1,16.0,No_BBS,Reptiles,0,2019,August
4,1,14.0,BBS,Birds,0,2019,August
4,1,14.0,BBS,Insects,0,2019,August
4,1,14.0,BBS,Mammals,6,2019,August
4,1,14.0,BBS,Reptiles,0,2019,August
4,1,14.0,No_BBS,Birds,1,2019,August
4,1,14.0,No_BBS,Insects,0,2019,August
4,1,14.0,No_BBS,Mammals,9,2019,August
4,1,14.0,No_BBS,Reptiles,0,2019,August
5,1,15.0,BBS,Birds,0,2019,August
5,1,15.0,BBS,Insects,0,2019,August
5,1,15.0,BBS,Mammals,0,2019,August
5,1,15.0,BBS,Reptiles,0,2019,August
5,1,13.0,No_BBS,Birds,2,2019,August
5,1,13.0,No_BBS,Insects,0,2019,August
5,1,13.0,No_BBS,Mammals,0,2019,August
5,1,13.0,No_BBS,Reptiles,0,2019,August
6,1,16.0,BBS,Birds,0,2019,August
6,1,16.0,BBS,Insects,0,2019,August
6,1,16.0,BBS,Mammals,17,2019,August
6,1,16.0,BBS,Reptiles,0,2019,August
6,1,14.0,No_BBS,Birds,0,2019,August
6,1,14.0,No_BBS,Insects,0,2019,August
6,1,14.0,No_BBS,Mammals,7,2019,August
6,1,14.0,No_BBS,Reptiles,0,2019,August
7,1,13.0,BBS,Birds,1,2019,July
7,1,13.0,BBS,Insects,3,2019,July
7,1,13.0,BBS,Mammals,0,2019,July
7,1,13.0,BBS,Reptiles,0,2019,July
7,1,13.0,No_BBS,Birds,1,2019,July
7,1,13.0,No_BBS,Insects,5,2019,July
7,1,13.0,No_BBS,Mammals,0,2019,July
7,1,13.0,No_BBS,Reptiles,0,2019,July
8,1,11.0,BBS,Birds,1,2019,September
8,1,11.0,BBS,Insects,2,2019,September
8,1,11.0,BBS,Mammals,0,2019,September
8,1,11.0,BBS,Reptiles,0,2019,September
8,1,15.0,No_BBS,Birds,0,2019,September
8,1,15.0,No_BBS,Insects,1,2019,September
8,1,15.0,No_BBS,Mammals,1,2019,September
8,1,15.0,No_BBS,Reptiles,0,2019,September
9,1,14.0,BBS,Birds,0,2019,October
9,1,14.0,BBS,Insects,0,2019,October
9,1,14.0,BBS,Mammals,4,2019,October
9,1,14.0,BBS,Reptiles,0,2019,October
9,1,13.0,No_BBS,Birds,0,2019,October
9,1,13.0,No_BBS,Insects,0,2019,October
9,1,13.0,No_BBS,Mammals,3,2019,October
9,1,13.0,No_BBS,Reptiles,0,2019,October
10,2,15.0,BBS,Birds,1,2020,May
10,2,15.0,BBS,Insects,0,2020,May
10,2,15.0,BBS,Mammals,0,2020,May
10,2,15.0,BBS,Reptiles,0,2020,May
10,2,15.0,BBS_Bell,Birds,0,2020,May
10,2,15.0,BBS_Bell,Insects,0,2020,May
10,2,15.0,BBS_Bell,Mammals,0,2020,May
10,2,15.0,BBS_Bell,Reptiles,0,2020,May
10,2,14.0,No_BBS,Birds,1,2020,May
10,2,14.0,No_BBS,Insects,0,2020,May
10,2,14.0,No_BBS,Mammals,0,2020,May
10,2,14.0,No_BBS,Reptiles,0,2020,May
11,1,14.0,BBS,Birds,0,2020,May
11,1,14.0,BBS,Insects,0,2020,May
11,1,14.0,BBS,Mammals,7,2020,May
11,1,14.0,BBS,Reptiles,1,2020,May
11,1,14.0,BBS_Bell,Birds,1,2020,May
11,1,14.0,BBS_Bell,Insects,0,2020,May
11,1,14.0,BBS_Bell,Mammals,1,2020,May
11,1,14.0,BBS_Bell,Reptiles,0,2020,May
11,1,14.0,No_BBS,Birds,0,2020,May
11,1,14.0,No_BBS,Insects,0,2020,May
11,1,14.0,No_BBS,Mammals,3,2020,May
11,1,14.0,No_BBS,Reptiles,0,2020,May
12,1,14.0,BBS,Birds,0,2020,May
12,1,14.0,BBS,Insects,0,2020,May
12,1,14.0,BBS,Mammals,2,2020,May
12,1,14.0,BBS,Reptiles,0,2020,May
12,1,14.0,BBS_Bell,Birds,0,2020,May
12,1,14.0,BBS_Bell,Insects,0,2020,May
12,1,14.0,BBS_Bell,Mammals,2,2020,May
12,1,14.0,BBS_Bell,Reptiles,0,2020,May
12,1,14.0,No_BBS,Birds,1,2020,May
12,1,14.0,No_BBS,Insects,0,2020,May
12,1,14.0,No_BBS,Mammals,2,2020,May
12,1,14.0,No_BBS,Reptiles,3,2020,May
13,2,13.0,BBS,Birds,0,2020,May
13,2,13.0,BBS,Insects,0,2020,May
13,2,13.0,BBS,Mammals,8,2020,May
13,2,13.0,BBS,Reptiles,0,2020,May
13,2,13.0,BBS_Bell,Birds,2,2020,May
13,2,13.0,BBS_Bell,Insects,0,2020,May
13,2,13.0,BBS_Bell,Mammals,4,2020,May
13,2,13.0,BBS_Bell,Reptiles,0,2020,May
13,2,13.0,No_BBS,Birds,1,2020,May
13,2,13.0,No_BBS,Insects,0,2020,May
13,2,13.0,No_BBS,Mammals,18,2020,May
13,2,13.0,No_BBS,Reptiles,0,2020,May
14,2,14.0,BBS,Birds,2,2020,May
14,2,14.0,BBS,Insects,4,2020,May
14,2,14.0,BBS,Mammals,1,2020,May
14,2,14.0,BBS,Reptiles,0,2020,May
14,2,14.0,BBS_Bell,Birds,2,2020,May
14,2,14.0,BBS_Bell,Insects,2,2020,May
14,2,14.0,BBS_Bell,Mammals,0,2020,May
14,2,14.0,BBS_Bell,Reptiles,0,2020,May
14,2,14.5,No_BBS,Birds,4,2020,May
14,2,14.5,No_BBS,Insects,0,2020,May
