mean,year,e
100.0,1990,Regular Breeding Birds
94.42,1991,Regular Breeding Birds
96.95,1992,Regular Breeding Birds
99.49,1993,Regular Breeding Birds
98.2,1994,Regular Breeding Birds
97.71,1995,Regular Breeding Birds
96.52,1996,Regular Breeding Birds
91.47,1997,Regular Breeding Birds
89.42,1998,Regular Breeding Birds
87.47,1999,Regular Breeding Birds
92.61,2000,Regular Breeding Birds
88.64,2001,Regular Breeding Birds
87.91,2002,Regular Breeding Birds
91.32,2003,Regular Breeding Birds
95.33,2004,Regular Breeding Birds
98.18,2005,Regular Breeding Birds
95.25,2006,Regular Breeding Birds
98.43,2007,Regular Breeding Birds
98.9,2008,Regular Breeding Birds
93.73,2009,Regular Breeding Birds
99.44,2010,Regular Breeding Birds
101.19,2011,Regular Breeding Birds
105.02,2012,Regular Breeding Birds
101.96,2013,Regular Breeding Birds
106.09,2014,Regular Breeding Birds
109.57,2015,Regular Breeding Birds
112.06,2016,Regular Breeding Birds
114.22,2017,Regular Breeding Birds
109.86,2018,Regular Breeding Birds
118.51,2019,Regular Breeding Birds
125.77,2020,Regular Breeding Birds
129.19,2021,Regular Breeding Birds
123.84,2022,Regular Breeding Birds
100.0,1990,Alpine habitats
102.4,1991,Alpine habitats
106.26,1992,Alpine habitats
108.81,1993,Alpine habitats
108.98,1994,Alpine habitats
107.46,1995,Alpine habitats
101.65,1996,Alpine habitats
95.8,1997,Alpine habitats
86.97,1998,Alpine habitats
81.4,1999,Alpine habitats
82.82,2000,Alpine habitats
80.62,2001,Alpine habitats
80.41,2002,Alpine habitats
80.35,2003,Alpine habitats
81.7,2004,Alpine habitats
91.76,2005,Alpine habitats
91.99,2006,Alpine habitats
93.39,2007,Alpine habitats
94.13,2008,Alpine habitats
86.08,2009,Alpine habitats
87.09,2010,Alpine habitats
91.18,2011,Alpine habitats
89.46,2012,Alpine habitats
91.55,2013,Alpine habitats
100.23,2014,Alpine habitats
104.84,2015,Alpine habitats
108.07,2016,Alpine habitats
106.11,2017,Alpine habitats
103.89,2018,Alpine habitats
106.37,2019,Alpine habitats
122.22,2020,Alpine habitats
123.42,2021,Alpine habitats
122.67,2022,Alpine habitats
100.0,1990,Settlements
101.36,1991,Settlements
104.39,1992,Settlements
115.81,1993,Settlements
106.11,1994,Settlements
102.36,1995,Settlements
106.73,1996,Settlements
107.31,1997,Settlements
101.68,1998,Settlements
98.43,1999,Settlements
112.6,2000,Settlements
103.07,2001,Settlements
102.17,2002,Settlements
109.79,2003,Settlements
113.83,2004,Settlements
117.26,2005,Settlements
112.97,2006,Settlements
109.38,2007,Settlements
109.2,2008,Settlements
111.46,2009,Settlements
115.7,2010,Settlements
117.04,2011,Settlements
120.4,2012,Settlements
124.68,2013,Settlements
112.12,2014,Settlements
109.69,2015,Settlements
