﻿# Identitas AG. Validity: 2016-01-01 - 2024-09-30. Evaluated: 2024-10-21
Year;Month;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;??
2016;1;20031;212;1214;28759;8862;3034;6046;8312;1021;2972;916;6388;4960;655;530;9451;2500;8522;2707;7813;6160;375;20869;5215;2260;33707;1377
2016;2;20218;211;1224;29038;8913;3060;6111;8371;1032;3012;922;6449;5002;658;532;9529;2516;8593;2735;7878;6225;378;21069;5295;2286;33961;1377
2016;3;20386;214;1236;29258;8974;3073;6193;8430;1043;3027;928;6488;5053;660;538;9599;2540;8650;2742;7947;6295;379;21237;5371;2300;34179;1388
2016;4;20507;218;1241;29484;9036;3102;6255;8492;1058;3060;934;6546;5083;666;540;9678;2562;8714;2765;7994;6367;379;21444;5435;2307;34385;1405
2016;5;20634;219;1252;29666;9069;3111;6287;8550;1067;3086;941;6595;5120;675;543;9751;2585;8757;2781;8045;6413;378;21611;5489;2321;34558;1415
2016;6;20791;222;1258;29868;9143;3132;6347;8616;1074;3124;955;6649;5161;683;546;9828;2613;8833;2805;8115;6481;379;21800;5542;2338;34825;1430
2016;7;20925;226;1265;30158;9204;3160;6407;8695;1088;3147;965;6717;5218;688;547;9911;2633;8909;2829;8167;6547;382;22012;5611;2362;35134;1447
2016;8;21285;233;1279;30694;9335;3204;6551;8811;1106;3204;978;6839;5277;697;554;10079;2682;9046;2883;8297;6635;389;22354;5717;2392;35678;1469
2016;9;21545;239;1293;31109;9446;3241;6630;8896;1127;3239;994;6930;5335;709;566;10214;2728;9164;2912;8419;6707;392;22607;5806;2429;36180;1488
2016;10;21831;242;1314;31508;9549;3281;6741;8980;1140;3300;1010;7026;5389;723;575;10381;2767;9278;2946;8545;6829;396;22871;5886;2458;36688;1519
2016;11;22144;248;1336;32027;9688;3331;6857;9095;1160;3375;1020;7144;5475;738;581;10560;2816;9410;3002;8686;6937;404;23205;5987;2499;37208;1543
2016;12;22375;253;1352;32344;9774;3356;6934;9188;1178;3409;1035;7230;5521;746;588;10667;2838;9499;3029;8785;7023;408;23418;6075;2528;37568;1555
2017;1;22588;255;1368;32665;9860;3391;7022;9268;1197;3433;1046;7311;5576;753;594;10787;2876;9579;3059;8874;7117;417;23643;6153;2567;37953;1571
2017;2;22840;263;1390;33126;9987;3423;7169;9369;1217;3490;1055;7414;5666;763;602;10934;2910;9698;3116;8995;7229;420;24005;6255;2592;38355;1588
2017;3;23069;267;1407;33429;10073;3455;7253;9431;1226;3535;1070;7481;5728;770;608;11052;2937;9790;3150;9077;7322;425;24292;6341;2616;38658;1609
2017;4;23180;265;1412;33626;10116;3468;7303;9480;1231;3557;1078;7519;5761;776;618;11126;2961;9838;3181;9135;7395;432;24497;6399;2622;38873;1613
2017;5;23308;265;1425;33783;10164;3487;7368;9553;1235;3586;1082;7564;5800;785;623;11202;2977;9903;3205;9189;7451;434;24692;6452;2633;39095;1627
2017;6;23466;266;1437;34023;10228;3520;7451;9637;1240;3617;1094;7627;5831;790;635;11294;3000;9951;3244;9245;7523;435;24906;6527;2647;39384;1636
2017;7;23651;267;1451;34297;10279;3538;7518;9729;1253;3635;1105;7682;5871;797;646;11395;3017;10012;3268;9320;7598;440;25090;6594;2669;39660;1650
2017;8;23993;270;1483;34781;10395;3574;7615;9820;1274;3704;1114;7788;5943;802;654;11566;3058;10141;3309;9474;7681;448;25428;6682;2702;40112;1678
2017;9;24255;271;1504;35119;10509;3604;7707;9903;1282;3755;1137;7877;5997;808;658;11687;3089;10231;3352;9589;7776;453;25673;6777;2736;40550;1697
2017;10;24494;274;1527;35516;10614;3643;7797;9985;1297;3790;1147;7978;6064;814;662;11822;3122;10345;3383;9690;7888;464;25950;6887;2765;40883;1717
2017;11;24841;284;1565;36066;10753;3678;7931;10101;1312;3874;1157;8115;6138;824;682;12033;3175;10487;3448;9857;8017;472;26322;7065;2810;41398;1738
2017;12;25050;283;1577;36495;10861;3696;8026;10186;1323;3921;1175;8198;6192;829;691;12173;3191;10565;3471;9944;8136;478;26606;7155;2834;41766;1761
2018;1;25361;287;1603;36976;10968;3744;8181;10338;1337;3997;1208;8345;6265;841;700;12366;3233;10693;3534;10083;8277;494;26975;7292;2868;42297;1787
2018;2;25557;292;1616;37245;11028;3764;8259;10421;1349;4044;1221;8417;6324;843;708;12469;3252;10787;3570;10170;8369;502;27202;7388;2892;42630;1799
2018;3;25720;296;1629;37494;11089;3793;8319;10491;1357;4090;1240;8483;6380;859;713;12559;3264;10871;3589;10240;8460;505;27459;7468;2921;42905;1808
2018;4;25872;297;1641;37709;11131;3810;8397;10544;1365;4122;1248;8540;6425;864;714;12638;3284;10926;3615;10302;8544;505;27673;7544;2938;43154;1817
2018;5;25975;300;1652;37903;11176;3825;8446;10606;1371;4149;1260;8572;6451;868;721;12703;3304;10980;3626;10358;8613;510;27878;7619;2953;43376;1830
2018;6;26105;302;1663;38091;11230;3844;8507;10683;1378;4177;1273;8621;6484;874;722;12769;3342;11030;3637;10409;8671;514;28093;7680;2967;43621;1844
2018;7;26300;306;1682;38411;11309;3878;8612;10783;1385;4220;1279;8669;6525;874;728;12865;3367;11099;3663;10487;8759;521;28366;7781;2986;43909;1855
2018;8;26572;309;1715;38859;11422;3919;8716;10888;1403;4288;1290;8770;6600;884;734;13030;3405;11216;3714;10613;8852;524;28650;7864;3004;44403;1874
2018;9;26852;313;1744;39244;11527;3950;8808;10966;1419;4331;1307;8881;6652;893;737;13175;3438;11335;3741;10699;8943;533;28941;7942;3026;44870;1903
2018;10;27134;320;1773;39637;11613;3993;8938;11073;1433;4390;1324;8984;6717;912;750;13320;3463;11441;3786;10826;9075;540;29264;8041;3062;45280;1920
2018;11;27558;335;1811;40456;11773;4053;9166;11213;1467;4501;1359;9166;6816;928;765;13586;3541;11618;3893;11044;9257;545;29832;8249;3100;45866;1966
2018;12;27754;336;1833;40731;11846;4080;9265;11306;1473;4534;1373;9249;6871;938;775;13693;3559;11695;3931;11113;9367;548;30096;8327;3128;46176;1979
2019;1;27961;338;1849;41105;11960;4114;9387;11394;1484;4564;1393;9342;6935;946;791;13815;3580;11781;3960;11214;9492;555;30383;8429;3161;46533;2006
2019;2;28151;343;1856;41383;12040;4143;9465;11460;1488;4599;1399;9407;6987;954;801;13930;3596;11868;3993;11302;9594;562;30606;8529;3186;46804;2021
2019;3;28329;347;1865;41605;12106;4178;9557;11536;1495;4640;1422;9459;7041;957;808;14034;3626;11946;4025;11370;9667;569;30850;8601;3199;47112;2040
2019;4;28465;348;1873;41803;12164;4209;9637;11602;1498;4665;1441;9513;7086;962;817;14089;3646;11987;4049;11417;9754;573;31053;8684;3217;47372;2056
2019;5;28591;349;1890;41994;12214;4245;9702;11676;1506;4695;1457;9564;7130;968;825;14150;3660;12034;4065;11476;9832;580;31241;8762;3220;47607;2073
2019;6;28716;352;1904;42186;12274;4266;9756;11742;1509;4725;1472;9623;7181;975;829;14229;3681;12069;4088;11536;9878;589;31437;8833;3237;47805;2085
2019;7;28912;358;1929;42559;12368;4308;9854;11820;1523;4777;1503;9727;7240;982;830;14346;3707;12159;4120;11636;9998;597;31700;8944;3270;48193;2098
2019;8;29194;365;1951;43024;12474;4340;9971;11914;1537;4824;1520;9843;7296;997;841;14549;3754;12282;4160;11755;10088;602;31996;9060;3289;48634;2123
2019;9;29476;369;1981;43430;12578;4376;10104;11995;1552;4879;1545;9941;7359;1014;846;14716;3779;12373;4186;11877;10191;610;32294;9202;3328;49051;2153
2019;10;29742;374;2003;43824;12671;4402;10231;12115;1564;4933;1576;10049;7411;1024;857;14878;3819;12463;4232;11986;10315;619;32578;9318;3352;49456;2163
2019;11;30133;382;2038;44616;12840;4450;10462;12264;1595;5027;1623;10230;7526;1041;877;15129;3892;12684;4319;12212;10475;622;33176;9529;3387;50144;2211
2019;12;30347;385;2055;44917;12898;4468;10575;12367;1600;5057;1638;10325;7598;1048;884;15253;3910;12773;4360;12329;10564;622;33434;9636;3412;50497;2225
2020;1;30578;389;2077;45319;12999;4497;10685;12477;1618;5111;1660;10421;7668;1057;892;15386;3941;12874;4403;12421;10682;637;33775;9788;3441;50915;2244
2020;2;30756;394;2085;45594;13069;4519;10797;12560;1629;5149;1674;10493;7724;1063;898;15512;3964;12917;4434;12529;10783;642;34026;9911;3459;51209;2262
2020;3;30890;394;2088;45844;13129;4539;10891;12633;1636;5183;1699;10563;7773;1068;899;15612;3988;12983;4461;12588;10868;644;34271;9990;3476;51469;2277
2020;4;31010;395;2102;45966;13171;4558;10938;12678;1641;5207;1713;10630;7814;1074;907;15662;4000;13022;4481;12634;10932;647;34434;10051;3484;51668;2294
2020;5;31098;394;2112;46141;13206;4580;11013;12756;1646;5232;1730;10662;7857;1079;912;15713;4009;13080;4495;12686;11015;651;34651;10129;3494;51842;2307
2020;6;31301;397;2114;46373;13267;4614;11109;12883;1658;5274;1747;10708;7898;1080;919;15821;4030;13156;4521;12766;11100;657;34969;10228;3511;52146;2330
2020;7;31571;401;2134;46796;13388;4637;11252;13062;1681;5329;1781;10803;7982;1093;926;16007;4065;13289;4560;12899;11239;663;35358;10353;3538;52601;2359
2020;8;31859;409;2174;47388;13491;4682;11382;13216;1707;5419;1804;10909;8087;1101;934;16219;4112;13409;4611;13070;11351;667;35735;10480;3584;53153;2391
2020;9;32149;413;2200;47900;13620;4721;11531;13364;1725;5483;1841;11061;8181;1112;949;16409;4160;13529;4664;13204;11473;674;36132;10627;3626;53684;2412
2020;10;32454;417;2217;48351;13714;4757;11679;13521;1743;5544;1872;11194;8254;1119;968;16561;4199;13672;4707;13334;11637;689;36537;10782;3650;54183;2452
2020;11;32863;436;2262;49203;13884;4816;11974;13709;1763;5651;1908;11397;8416;1141;980;16860;4258;13883;4815;13563;11824;699;37223;11049;3705;54912;2495
2020;12;33118;438;2290;49562;13957;4863;12160;13834;1782;5706;1930;11512;8484;1151;985;16993;4282;13980;4851;13693;11953;709;37613;11190;3759;55390;2530
2021;1;33387;443;2315;49998;14047;4916;12317;13981;1801;5773;1960;11645;8565;1165;995;17149;4317;14110;4883;13824;12107;721;38021;11332;3804;55902;2553
2021;2;33665;444;2333;50349;14141;4968;12467;14146;1821;5813;1978;11755;8632;1175;999;17285;4337;14215;4924;13954;12220;736;38383;11456;3832;56294;2586
2021;3;33914;446;2351;50666;14246;5023;12621;14288;1833;5865;2010;11837;8725;1185;1013;17420;4356;14315;4966;14033;12360;742;38784;11581;3857;56710;2601
2021;4;34049;449;2370;50886;14300;5052;12722;14375;1841;5898;2026;11908;8773;1199;1018;17485;4368;14371;4981;14104;12434;748;39063;11688;3881;56957;2614
2021;5;34193;453;2382;51093;14342;5078;12802;14466;1851;5932;2049;11949;8814;1205;1028;17581;4393;14418;5004;14153;12529;752;39338;11772;3896;57184;2626
2021;6;34372;465;2395;51413;14407;5113;12891;14614;1866;5962;2076;12022;8875;1222;1037;17692;4422;14471;5031;14220;12649;763;39658;11882;3920;57535;2643
2021;7;34635;468;2428;51922;14521;5154;13054;14786;1877;6024;2100;12110;8960;1226;1048;17875;4479;14622;5085;14352;12799;766;40074;12059;3948;58098;2675
2021;8;34981;474;2451;52479;14635;5190;13189;14935;1891;6097;2125;12231;9057;1240;1060;18086;4515;14768;5132;14495;12936;775;40471;12207;3979;58628;2704
2021;9;35338;480;2500;52968;14760;5247;13357;15126;1912;6186;2158;12388;9160;1253;1079;18296;4555;14920;5172;14638;13075;792;40911;12408;4022;59226;2737
2021;10;35664;483;2527;53421;14854;5290;13523;15270;1933;6253;2196;12504;9238;1265;1095;18470;4583;15014;5237;14775;13224;808;41333;12579;4064;59710;2770
2021;11;36099;500;2566;54315;15048;5361;13816;15463;1975;6369;2241;12753;9385;1291;1110;18794;4651;15215;5353;15030;13432;822;42086;12891;4125;60514;2813
2021;12;36375;505;2580;54680;15154;5390;13971;15607;1987;6424;2268;12859;9476;1302;1126;18971;4674;15352;5386;15137;13539;833;42449;13077;4142;60931;2831
2022;1;36605;508;2599;55006;15237;5432;14121;15750;2003;6463;2289;12951;9533;1317;1138;19125;4702;15461;5429;15255;13698;837;42748;13233;4161;61413;2852
2022;2;36753;510;2613;55207;15293;5452;14244;15853;2012;6512;2314;13006;9594;1321;1141;19243;4720;15518;5453;15310;13825;842;42960;13378;4176;61697;2833
2022;3;36935;516;2622;55478;15366;5467;14417;15988;2026;6550;2334;13062;9674;1331;1151;19352;4735;15600;5478;15392;13960;846;43232;13521;4206;62055;2787
2022;4;37108;521;2639;55686;15452;5490;14538;16064;2034;6569;2351;13127;9717;1335;1159;19425;4767;15674;5507;15460;14050;854;43468;13643;4216;62360;2773
2022;5;37424;529;2666;56071;15556;5544;14735;16183;2047;6648;2376;13264;9812;1347;1173;19586;4811;15772;5550;15586;14244;869;43968;13856;4250;62816;2756
