Household_ID,No.CatsInHousehold,Year:Month,Duration,Treatment,PreyTaxon,No.Prey
1,1,2019:July,15,BBS,Birds,0
1,1,2019:July,15,BBS,Insects,0
1,1,2019:July,15,BBS,Mammals,5
1,1,2019:July,15,BBS,Reptiles,1
1,1,2019:July,15,No_BBS,Birds,0
1,1,2019:July,15,No_BBS,Insects,0
1,1,2019:July,15,No_BBS,Mammals,5
1,1,2019:July,15,No_BBS,Reptiles,2
2,1,2019:August,14,BBS,Birds,0
2,1,2019:August,14,BBS,Insects,0
2,1,2019:August,14,BBS,Mammals,1
2,1,2019:August,14,BBS,Reptiles,0
2,1,2019:August,14,No_BBS,Birds,0
2,1,2019:August,14,No_BBS,Insects,0
2,1,2019:August,14,No_BBS,Mammals,4
2,1,2019:August,14,No_BBS,Reptiles,0
3,1,2019:August,15,BBS,Birds,1
3,1,2019:August,15,BBS,Insects,0
3,1,2019:August,15,BBS,Mammals,1
3,1,2019:August,15,BBS,Reptiles,0
3,1,2019:August,16,No_BBS,Birds,0
3,1,2019:August,16,No_BBS,Insects,0
3,1,2019:August,16,No_BBS,Mammals,0
3,1,2019:August,16,No_BBS,Reptiles,0
4,1,2019:August,14,BBS,Birds,0
4,1,2019:August,14,BBS,Insects,0
4,1,2019:August,14,BBS,Mammals,6
4,1,2019:August,14,BBS,Reptiles,0
4,1,2019:August,14,No_BBS,Birds,1
4,1,2019:August,14,No_BBS,Insects,0
4,1,2019:August,14,No_BBS,Mammals,9
4,1,2019:August,14,No_BBS,Reptiles,0
5,1,2019:August,15,BBS,Birds,0
5,1,2019:August,15,BBS,Insects,0
5,1,2019:August,15,BBS,Mammals,0
5,1,2019:August,15,BBS,Reptiles,0
5,1,2019:August,13,No_BBS,Birds,2
5,1,2019:August,13,No_BBS,Insects,0
5,1,2019:August,13,No_BBS,Mammals,0
5,1,2019:August,13,No_BBS,Reptiles,0
6,1,2019:August,16,BBS,Birds,0
6,1,2019:August,16,BBS,Insects,0
6,1,2019:August,16,BBS,Mammals,17
6,1,2019:August,16,BBS,Reptiles,0
6,1,2019:August,14,No_BBS,Birds,0
6,1,2019:August,14,No_BBS,Insects,0
6,1,2019:August,14,No_BBS,Mammals,7
6,1,2019:August,14,No_BBS,Reptiles,0
7,1,2019:July,13,BBS,Birds,1
7,1,2019:July,13,BBS,Insects,3
7,1,2019:July,13,BBS,Mammals,0
7,1,2019:July,13,BBS,Reptiles,0
7,1,2019:July,13,No_BBS,Birds,1
7,1,2019:July,13,No_BBS,Insects,5
7,1,2019:July,13,No_BBS,Mammals,0
7,1,2019:July,13,No_BBS,Reptiles,0
8,1,2019:September,11,BBS,Birds,1
8,1,2019:September,11,BBS,Insects,2
8,1,2019:September,11,BBS,Mammals,0
8,1,2019:September,11,BBS,Reptiles,0
8,1,2019:September,15,No_BBS,Birds,0
8,1,2019:September,15,No_BBS,Insects,1
8,1,2019:September,15,No_BBS,Mammals,1
8,1,2019:September,15,No_BBS,Reptiles,0
9,1,2019:October,14,BBS,Birds,0
9,1,2019:October,14,BBS,Insects,0
9,1,2019:October,14,BBS,Mammals,4
9,1,2019:October,14,BBS,Reptiles,0
9,1,2019:October,13,No_BBS,Birds,0
9,1,2019:October,13,No_BBS,Insects,0
9,1,2019:October,13,No_BBS,Mammals,3
9,1,2019:October,13,No_BBS,Reptiles,0
10,2,2020:May,15,BBS,Birds,1
10,2,2020:May,15,BBS,Insects,0
10,2,2020:May,15,BBS,Mammals,0
10,2,2020:May,15,BBS,Reptiles,0
10,2,2020:May,15,BBS_Bell,Birds,0
