mean;lower95;upper95;year;Nspecies;e;d;f;i
100;97,96;102,29;1990;163;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
94,42;92,76;96,53;1991;163;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
96,95;95,29;98,9;1992;163;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
99,49;97,8;101,95;1993;163;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
98,2;96,28;100,39;1994;163;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
97,71;95,85;99,48;1995;165;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
96,52;94,69;98,85;1996;167;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
91,47;89,5;93,32;1997;167;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
89,42;88,25;90,54;1998;167;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
87,47;86,24;88,96;1999;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
92,61;91,63;94,08;2000;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
88,64;87,44;89,89;2001;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
87,91;86,81;89,2;2002;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
91,32;90,58;92,52;2003;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
95,33;94,07;96,49;2004;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
98,18;97,11;99,49;2005;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
95,25;94,22;96,24;2006;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
98,43;97,5;99,7;2007;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
98,9;97,89;99,92;2008;176;Regular Breeding Birds;Regelmässige Brutvögel;Oiseaux nicheurs réguliers;Nidificanti regolari
